p_id;p_nr;p_name;p_text;p_comp[zielgruppe];p_brand;a_id;a_nr;a_active;a_ean;a_prodnr;a_comp[farbe];a_comp[groesse];a_stock;a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};p_comp[material]
8879;36630910;Anorak;Kurz geschnittener Anorak aus l?ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74527;4250713709448;1;4250713709448;3227;schwarz;S;0;https://clientmedia.trade-server.net/1211_glago/media/7/78/48779.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/80/48781.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/82/48783.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/84/48785.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/86/48787.jpg;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l?ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74529;4250713709455;1;4250713709455;3227;schwarz;M;0;https://clientmedia.trade-server.net/1211_glago/media/7/78/48779.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/80/48781.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/82/48783.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/84/48785.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/86/48787.jpg;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l?ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74531;4250713709462;1;4250713709462;3227;schwarz;L;0;https://clientmedia.trade-server.net/1211_glago/media/7/78/48779.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/80/48781.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/82/48783.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/84/48785.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/86/48787.jpg;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l?ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74533;4250713709479;1;4250713709479;3227;schwarz;XL;0;https://clientmedia.trade-server.net/1211_glago/media/7/78/48779.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/80/48781.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/82/48783.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/84/48785.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/86/48787.jpg;;100% Baumwolle
8879;36630910;Anorak;Kurz geschnittener Anorak aus l?ssig gewaschenem Baumwoll-Material. Detailreich verarbeitet wird diese Jacke zum Allroundtalent.;Herren;DreiMaster;74535;4250713709486;1;4250713709486;3227;schwarz;XXL;0;https://clientmedia.trade-server.net/1211_glago/media/7/78/48779.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/80/48781.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/82/48783.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/84/48785.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/86/48787.jpg;;100% Baumwolle
8681;35251686;Bluse;M?dels Bluse eng geschnitten aus kariertem Flanell, normaler Kragen, Spitzenband an vorderer und hinterer Passe, Armloch und BÅndchen, Klappentaschen an der Brust, gerundetem Saum ?rmel k?nnen aufgekr?mpelt und mit einer Lasche fixiert werden;Damen;DreiMaster;70433;4250713765673;1;4250713765673;3327;marine kariert;XS;0;;;;;;;100% Baumwolle
8681;35251686;Bluse;M?dels Bluse eng geschnitten aus kariertem Flanell, normaler Kragen, Spitzenband an vorderer und hinterer Passe, Armloch und BÅndchen, Klappentaschen an der Brust, gerundetem Saum ?rmel k?nnen aufgekr?mpelt und mit einer Lasche fixiert werden;Damen;DreiMaster;70435;4250713765680;1;4250713765680;3327;marine kariert;S;5;;;;;;;100% Baumwolle
8681;35251686;Bluse;M?dels Bluse eng geschnitten aus kariertem Flanell, normaler Kragen, Spitzenband an vorderer und hinterer Passe, Armloch und BÅndchen, Klappentaschen an der Brust, gerundetem Saum ?rmel k?nnen aufgekr?mpelt und mit einer Lasche fixiert werden;Damen;DreiMaster;70437;4250713765697;1;4250713765697;3327;marine kariert;M;0;;;;;;;100% Baumwolle
8681;35251686;Bluse;M?dels Bluse eng geschnitten aus kariertem Flanell, normaler Kragen, Spitzenband an vorderer und hinterer Passe, Armloch und BÅndchen, Klappentaschen an der Brust, gerundetem Saum ?rmel k?nnen aufgekr?mpelt und mit einer Lasche fixiert werden;Damen;DreiMaster;70439;4250713765703;1;4250713765703;3327;marine kariert;L;0;;;;;;;100% Baumwolle
8681;35251686;Bluse;M?dels Bluse eng geschnitten aus kariertem Flanell, normaler Kragen, Spitzenband an vorderer und hinterer Passe, Armloch und BÅndchen, Klappentaschen an der Brust, gerundetem Saum ?rmel k?nnen aufgekr?mpelt und mit einer Lasche fixiert werden;Damen;DreiMaster;70441;4250713765710;1;4250713765710;3327;marine kariert;XL;0;;;;;;;100% Baumwolle
1627;36030473DB;Bikerjacke;Sensationelle Bikerjacke mit gro†em Kragen aus superweichem Nappaleder mit aufw?ndigen Details. Die Jacke hat eine schr?g verlaufende Knopfleiste, eine angesetzte Kapuze und einen individuellen Armabschlu†.;Damen;DreiMaster;15907;8699891177711;1;8699891177711;3200;dunkel braun;XS;0;https://clientmedia.trade-server.net/1211_glago/media/8/12/26813.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/16/26817.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/14/26815.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/24/6025.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/28/6029.jpg;;100% Leder
1627;36030473DB;Bikerjacke;Sensationelle Bikerjacke mit gro†em Kragen aus superweichem Nappaleder mit aufw?ndigen Details. Die Jacke hat eine schr?g verlaufende Knopfleiste, eine angesetzte Kapuze und einen individuellen Armabschlu†.;Damen;DreiMaster;15909;8699891177728;1;8699891177728;3200;dunkel braun;S;0;https://clientmedia.trade-server.net/1211_glago/media/8/12/26813.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/16/26817.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/14/26815.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/24/6025.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/28/6029.jpg;;100% Leder
1627;36030473DB;Bikerjacke;Sensationelle Bikerjacke mit gro†em Kragen aus superweichem Nappaleder mit aufw?ndigen Details. Die Jacke hat eine schr?g verlaufende Knopfleiste, eine angesetzte Kapuze und einen individuellen Armabschlu†.;Damen;DreiMaster;15911;8699891177735;1;8699891177735;3200;dunkel braun;M;0;https://clientmedia.trade-server.net/1211_glago/media/8/12/26813.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/16/26817.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/14/26815.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/24/6025.jpg;https://clientmedia.trade-server.net/1211_glago/media/0/28/6029.jpg;;100% Leder
